Timestamp,Source IP,Destination IP,Request Type,Status Code,Bytes Transferred,User Agent,Anomaly Detected,Attack Type
2024-08-31 10:15:00,192.168.1.70,172.16.0.5,GET,403,3731,Safari/537.36,Malformed SQL query in the request,SQL Injection
2024-08-31 10:15:14,192.168.1.80,172.16.0.5,POST,403,2906,Mozilla/5.0,Malformed SQL query in the request,SQL Injection
2024-08-31 10:15:25,192.168.1.75,172.16.0.5,POST,403,1479,Safari/537.36,Presence of OR 1=1 in query,SQL Injection
2024-08-31 10:15:39,192.168.1.60,172.16.0.5,GET,403,1712,Chrome/58.0,Multiple failed login attempts,Brute Force Attack
2024-08-31 10:15:53,192.168.1.15,172.16.0.5,POST,404,3342,Safari/537.36,SQL keywords detected in URL,SQL Injection
2024-08-31 10:16:06,192.168.1.33,172.16.0.5,POST,200,1258,Safari/537.36,Multiple failed login attempts,Brute Force Attack
2024-08-31 10:16:17,192.168.1.33,172.16.0.5,POST,200,2094,Chrome/58.0,Multiple failed login attempts,Brute Force Attack
2024-08-31 10:16:26,192.168.1.62,172.16.0.5,POST,500,2896,Chrome/58.0,High volume of POST requests,DDoS Attack
2024-08-31 10:16:38,192.168.1.55,172.16.0.5,POST,403,1901,Safari/537.36,Multiple requests per second from the same IP,DDoS Attack
2024-08-31 10:16:50,192.168.1.50,172.16.0.5,GET,403,1903,Chrome/58.0,Malformed SQL query in the request,SQL Injection
2024-08-31 10:16:58,192.168.1.45,172.16.0.5,POST,200,2546,Safari/537.36,Suspected flooding attack,DDoS Attack
2024-08-31 10:17:11,192.168.1.45,172.16.0.5,GET,403,3613,Mozilla/5.0,SQL syntax error in request,SQL Injection
2024-08-31 10:17:19,192.168.1.12,172.16.0.5,GET,200,2440,Chrome/58.0,Accessing non-existent pages,
2024-08-31 10:17:34,192.168.1.11,172.16.0.5,POST,403,1627,Safari/537.36,Unusual number of authentication failures,Brute Force Attack
2024-08-31 10:17:41,192.168.1.55,172.16.0.5,POST,200,1656,Mozilla/5.0,Multiple failed login attempts,Brute Force Attack
2024-08-31 10:17:53,192.168.1.75,172.16.0.5,GET,403,1520,Safari/537.36,Suspected flooding attack,DDoS Attack
2024-08-31 10:17:59,192.168.1.45,172.16.0.5,POST,404,1206,Mozilla/5.0,High volume of POST requests,DDoS Attack
2024-08-31 10:18:07,192.168.1.11,172.16.0.5,GET,404,563,Chrome/58.0,Multiple failed login attempts,Brute Force Attack
2024-08-31 10:18:18,192.168.1.33,172.16.0.5,GET,404,1569,Safari/537.36,Suspected flooding attack,DDoS Attack
2024-08-31 10:18:29,192.168.1.15,172.16.0.5,GET,401,965,Chrome/58.0,Unusual number of authentication failures,Brute Force Attack
2024-08-31 10:18:41,192.168.1.11,172.16.0.5,POST,500,2220,Chrome/58.0,Presence of OR 1=1 in query,SQL Injection
2024-08-31 10:18:49,192.168.1.50,172.16.0.5,GET,401,694,Mozilla/5.0,High volume of POST requests,DDoS Attack
2024-08-31 10:19:01,192.168.1.15,172.16.0.5,POST,500,2409,Mozilla/5.0,Presence of OR 1=1 in query,SQL Injection
2024-08-31 10:19:06,192.168.1.62,172.16.0.5,POST,200,2376,Mozilla/5.0,Unusual number of authentication failures,Brute Force Attack
2024-08-31 10:19:15,192.168.1.85,172.16.0.5,GET,403,686,Chrome/58.0,Suspected flooding attack,DDoS Attack
